a0,a1,a2
522,525,501
517,374,500
511,300,498
501,356,500
496,504,502
502,639,497
510,689,500
519,607,500
523,448,501
517,330,501
503,309,502
497,419,499
500,573,499
504,676,497
515,661,499
520,539,501
520,383,501
512,304,499
502,347,501
497,490,499
503,628,497
507,690,501
517,615,503
522,460,500
516,337,499
506,302,499
497,404,497
498,564,500
503,674,496
516,667,499
520,550,500
520,396,500
514,304,499
505,339,497
496,476,498
502,622,499
506,690,499
517,626,504
523,476,498
519,345,501
508,302,499
499,395,501
496,551,500
504,664,501
515,675,501
522,561,501
519,405,499
514,307,502
502,333,498
496,462,502
499,614,500
507,688,500
516,636,501
524,488,500
518,352,503
509,299,499
499,384,502
496,541,501
498,659,499
511,681,501
521,573,501
520,416,500
514,313,501
503,325,501
498,448,502
497,603,501
505,687,500
516,645,499
524,504,499
515,360,502
510,299,501
501,371,498
495,526,500
502,653,500
511,683,499
519,583,501
519,429,499
516,317,499
502,320,500
498,438,498
499,593,498
506,684,500
516,651,503
520,517,501
517,368,501
511,300,501
501,361,499
496,515,502
499,645,498
509,687,497
521,597,503
521,441,499
517,324,505
505,313,497
499,426,500
497,584,500
504,682,502
516,656,500
521,531,501
518,378,497
512,299,500
502,354,500
495,500,502
501,636,502
509,687,500
519,610,499
520,450,504
517,331,498
507,307,501
497,414,501
498,572,498
503,677,503
515,663,497
519,542,503
521,387,500
511,303,499
503,345,497
494,485,498
502,629,501
509,690,502
519,620,500
520,464,497
517,340,501
506,303,503
498,402,501
498,560,501
500,672,500
515,671,500
521,555,505
521,397,499
511,304,502
502,338,500
496,470,497
500,620,497
506,689,502
517,630,503
524,479,501
514,345,505
506,301,499
498,392,498
495,550,499
501,665,498
515,676,498
519,565,499
520,407,499
514,308,500
504,331,502
496,458,499
497,613,501
507,690,497
519,636,504
520,493,501
518,354,500
509,301,497
499,379,498
496,538,499
503,658,501
513,680,499
521,575,500
519,419,502
517,313,499
502,325,498
498,447,499
498,601,502
506,688,498
515,645,501
521,505,501
517,362,500
509,300,500
499,370,499
496,523,502
500,651,501
509,687,499
520,587,501
520,431,502
514,317,501
504,317,501
499,437,500
498,592,500
504,684,499
515,652,498
522,520,502
518,369,503
511,301,500
502,359,498
496,511,501
502,642,501
509,689,499
518,600,501
521,441,500
517,326,503
503,312,501
497,422,500
498,578,499
505,680,498
514,661,502
522,533,500
519,379,504
512,301,501
500,350,501
496,497,499
503,636,501
508,689,500
518,612,502
523,453,499
517,331,499
505,307,503
499,411,499
497,568,499
504,678,499
514,665,500
520,544,504
519,387,499
513,303,500
504,343,501
496,481,497
500,625,502
509,689,502
518,621,501
522,467,502
517,342,504
509,303,500
498,401,499
497,559,497
501,668,499
514,670,501
520,556,498
519,400,501
513,306,499
503,336,498
497,468,501
499,617,499
508,690,500
516,631,500
523,481,501
517,348,503
507,300,497
497,387,500
498,548,502
500,664,497
513,678,500
519,567,497
520,411,500
513,309,500
503,329,498
497,457,503
497,609,502
506,687,499
517,639,500
524,493,504
516,356,502
509,300,502
498,377,498
496,535,500
500,656,498
512,682,501
521,580,502
522,421,501
514,316,501
504,324,499
499,444,501
498,598,501
506,685,501
517,647,499
522,508,500
516,364,500
511,299,501
500,367,502
496,520,501
499,648,498
509,686,501
520,591,498
521,433,500
514,319,501
504,316,500
498,431,498
498,586,499
503,681,501
513,653,503
520,525,500
517,373,500
510,300,497
500,359,499
494,506,500
500,639,502
508,689,500
520,604,501
519,378,499
510,301,501
502,351,497
493,495,503
501,635,499
499,578,500
505,678,503
515,661,500
520,534,501
519,378,499
510,301,501
502,351,497
493,495,503
501,635,499
508,690,498
518,611,501
522,453,500
516,333,499
507,307,500
497,412,501
497,569,499
503,676,501
517,663,502
520,543,503
520,388,499
512,303,502
502,344,500
496,481,504
503,627,500
509,690,502
516,619,503
521,467,499
516,340,502
509,303,499
498,400,500
499,558,503
500,669,498
513,672,499
519,556,502
521,400,502
512,304,500
503,335,497
496,467,499
499,619,502
505,688,498
516,630,500
524,482,504
516,349,499
509,301,502
499,388,500
495,547,496
503,664,501
514,679,498
522,568,500
520,412,501
515,309,501
503,329,500
498,455,497
499,609,499
507,687,502
518,638,499
524,494,501
518,354,499
509,300,499
500,379,501
496,535,500
502,657,498
513,685,499
521,580,499
519,423,498
515,313,497
503,323,501
498,443,497
496,599,499
507,686,501
514,648,498
522,511,499
519,364,500
510,300,499
500,367,500
